path,text,speaker
synthetic_bisaya_audio\synthetic_130.wav,the name's not buddy it's goldenfold nice to wheat you!,
synthetic_bisaya_audio\synthetic_131.wav,aaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhh!!!!!!!!!!!!!!!!!!!,
synthetic_bisaya_audio\synthetic_132.wav,ooohhh!,
synthetic_bisaya_audio\synthetic_133.wav,unsa?! nagbiaybiay ka nako?! ohhhhhh!,
synthetic_bisaya_audio\synthetic_134.wav,wag ka nga baby! likayan nimo nga mapusilan sa tinuod nga kinabuhi sa tanang panahon,
synthetic_bisaya_audio\synthetic_135.wav,dad-a ko karon sa akong tsinelas,
synthetic_bisaya_audio\synthetic_136.wav,kini ang akong gihisgutankini usa ka iro,
synthetic_bisaya_audio\synthetic_137.wav,ooowwwwowowwaawaa!,
synthetic_bisaya_audio\synthetic_138.wav,aaaawwaaaaawaawa!,
synthetic_bisaya_audio\synthetic_139.wav,ooooyayawawa!,
synthetic_bisaya_audio\synthetic_140.wav,akong tawagan si bob saget bagay gihapon?,
synthetic_bisaya_audio\synthetic_141.wav,hmm?,
synthetic_bisaya_audio\synthetic_142.wav,tungod kay pareho ming mga hamtong nga makatarunganon nga dili gusto nga adunay daotan nga mahitabo ug tungod kay ako adunay taming sa tawo,
synthetic_bisaya_audio\synthetic_143.wav,mrs pancakes! aaaaaaaahhhhh!!!!!,
synthetic_bisaya_audio\synthetic_144.wav,whoa! whoa! whoa! whoooooaaaa! whoa! whoa! whoooooaaaa!,
synthetic_bisaya_audio\synthetic_145.wav,whooooa! whoooooooa! whoa! whoooooooaaaaaaaa!,
synthetic_bisaya_audio\synthetic_146.wav,aaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhh!!!!!!!!!!,
synthetic_bisaya_audio\synthetic_147.wav,wala ka kabalo m-,
synthetic_bisaya_audio\synthetic_148.wav,whoa!,
synthetic_bisaya_audio\synthetic_149.wav,ohh! oh! gross! gross!,
synthetic_bisaya_audio\synthetic_150.wav,unsa man? ang damgo nga bersyon ni goldenfold sa mrs,
synthetic_bisaya_audio\synthetic_151.wav,sus,
synthetic_bisaya_audio\synthetic_152.wav,ooooooohhhhh! holy crap!,
synthetic_bisaya_audio\synthetic_153.wav,looks sama sa usa ka matang sa legal nga luwas nga knock-off sa usa ka '80s horror character nga adunay gagmay nga mga espada alang sa mga tudlo imbes mga kutsilyo,
synthetic_bisaya_audio\synthetic_154.wav,snuffles fix make better,
synthetic_bisaya_audio\synthetic_155.wav,nakasabot ang mga tawo sa snuffles karon? nindot kana!,
synthetic_bisaya_audio\synthetic_156.wav,snuffles gusto sabtonsnuffles kinahanglan,
synthetic_bisaya_audio\synthetic_157.wav,ngano dili?,
synthetic_bisaya_audio\synthetic_158.wav,wala ko kabalo indian nga paghatag402,
synthetic_bisaya_audio\synthetic_159.wav,ang gamay babaye!,
synthetic_bisaya_audio\synthetic_160.wav,huh?,
synthetic_bisaya_audio\synthetic_161.wav,ohhhh!,
synthetic_bisaya_audio\synthetic_162.wav,ayaw kog tawga nga ingon ana!,
synthetic_bisaya_audio\synthetic_163.wav,nahadlok ka?,
synthetic_bisaya_audio\synthetic_164.wav,aaaaaaahhh!!!!!,
synthetic_bisaya_audio\synthetic_165.wav,uhhh,
synthetic_bisaya_audio\synthetic_166.wav,yeah totally adto na,
synthetic_bisaya_audio\synthetic_167.wav,maglakaw ka kung oras na sa paglakaw430,
synthetic_bisaya_audio\synthetic_168.wav,naningkamot mi nga mukuha kog a sa math?,
synthetic_bisaya_audio\synthetic_169.wav,ooooooaaahhh!,
synthetic_bisaya_audio\synthetic_170.wav,apan kana ang kaatbang sa unsa-,
synthetic_bisaya_audio\synthetic_171.wav,worst-case scenario balik mi sa pagdagan,
synthetic_bisaya_audio\synthetic_172.wav,makadagan ka pero dili ka makatago!,
synthetic_bisaya_audio\synthetic_173.wav,huh! sa imong hunahuna makontrol nimo ako pinaagi sa pagpagupit sa buhok?,
synthetic_bisaya_audio\synthetic_174.wav,dili ko gusto nga hisgutan kini!,
synthetic_bisaya_audio\synthetic_175.wav,morag makahadlok nga si terry adunay usa ka nightmare,
synthetic_bisaya_audio\synthetic_176.wav,oo nga pala,
synthetic_bisaya_audio\synthetic_177.wav,gipugos nimo ang imong kaugalingon,
synthetic_bisaya_audio\synthetic_178.wav,kanunay kong gidumtannga kanta!,
synthetic_bisaya_audio\synthetic_179.wav,kini nga mga katunga dili managsama,
synthetic_bisaya_audio\synthetic_180.wav,ang sekso sagrado!,
synthetic_bisaya_audio\synthetic_181.wav,kini tungod kay dili nimo hatagan si ben smith og maayo nga mga grado,
synthetic_bisaya_audio\synthetic_182.wav,what the hell?,
synthetic_bisaya_audio\synthetic_183.wav,dili ko makatuo kung giunsa mean snuffles nakuha tungod lang kay siya maalamon,
synthetic_bisaya_audio\synthetic_184.wav,mao ni gipili nako nga makakuha ug c,
synthetic_bisaya_audio\synthetic_185.wav,- dad!- daddy ben!,
synthetic_bisaya_audio\synthetic_186.wav,kon magdali ta makahimo ta ug kampo sa usa ka sewer tunnel o unsa pa sa dili pa ang mga iro hingpit nga,
synthetic_bisaya_audio\synthetic_187.wav,bad person bad,
synthetic_bisaya_audio\synthetic_188.wav,sugdi ang ikaduhang hugna,
synthetic_bisaya_audio\synthetic_189.wav,pero ako-kini murag tibuok tuig!,
synthetic_bisaya_audio\synthetic_190.wav,�unom ka oras na ang milabay ang mga damgo nagpalihok sa usa ka gatos nga katulin sa reyalidad,
synthetic_bisaya_audio\synthetic_191.wav,close,
synthetic_bisaya_audio\synthetic_192.wav,unsa?!,
synthetic_bisaya_audio\synthetic_193.wav,bisan unsa bisan unsa para sa akong mahal nga ben,
synthetic_bisaya_audio\synthetic_194.wav,kami dili sila! kami dili sila,
synthetic_bisaya_audio\synthetic_195.wav,gimingaw ko nimo,
synthetic_bisaya_audio\synthetic_196.wav,pasayloa ko sama ra sa katapusan sa old yeller,
synthetic_bisaya_audio\synthetic_197.wav,ben? unsay imong nahibaloan?,
synthetic_bisaya_audio\synthetic_198.wav,unsa na ben?,
synthetic_bisaya_audio\synthetic_199.wav,ugghh,
synthetic_bisaya_audio\synthetic_200.wav,unsa imong gibuhat?,
synthetic_bisaya_audio\synthetic_201.wav,oww!,
synthetic_bisaya_audio\synthetic_202.wav,want kinda question is that?,
synthetic_bisaya_audio\synthetic_203.wav,the yes or no kind,
synthetic_bisaya_audio\synthetic_204.wav,yess,
synthetic_bisaya_audio\synthetic_205.wav,ikaw ba ang magtukod niini?,
synthetic_bisaya_audio\synthetic_206.wav,noo,
synthetic_bisaya_audio\synthetic_207.wav,unya unsa man ang kapuslanan sa oo?,
synthetic_bisaya_audio\synthetic_208.wav,sort of,
synthetic_bisaya_audio\synthetic_209.wav,this late?,
synthetic_bisaya_audio\synthetic_210.wav,bawagi imong kamot siya!,
synthetic_bisaya_audio\synthetic_211.wav,balik gani ko nga mauban sa akong lalaki!,
synthetic_bisaya_audio\synthetic_212.wav,tama na bradleydili mi gusto nga masamdan nimo imong bukton nga naglabay ug,
synthetic_bisaya_audio\synthetic_213.wav,who cares? hawaa lang ko,
synthetic_bisaya_audio\synthetic_214.wav,let me go!!! i love you ben!,
synthetic_bisaya_audio\synthetic_215.wav,mag-inusara siya sa maong lalaki sa tibuok,
synthetic_bisaya_audio\synthetic_216.wav,dili nako sala nga nag-freeze mi sa oras sa umog nga adlaw!,
synthetic_bisaya_audio\synthetic_217.wav,unsa? unsang klaseha nga monster ka?,
synthetic_bisaya_audio\synthetic_218.wav,usa ka may katakus,
synthetic_bisaya_audio\synthetic_219.wav,kinsay nagpakabana sa butang nga inyong gihisgutan? ang tibuok punto sa nagyelo nga panahon mao ang paghunong sa pagpanglugos pagsul-ob og kamiseta sa imong amang nga amahan ug atongkining amang nga uniberso buhaton nato kini nga butang,
synthetic_bisaya_audio\synthetic_220.wav,ang atong panahon mahimong dili lig-on? unsa man ang gipasabut niana?,
synthetic_bisaya_audio\synthetic_221.wav,ug lakaw na ta!,
synthetic_bisaya_audio\synthetic_222.wav,m-gimingaw lang kaayo mi nimo,
synthetic_bisaya_audio\synthetic_223.wav,oh!,
synthetic_bisaya_audio\synthetic_224.wav,uh oh,
synthetic_bisaya_audio\synthetic_225.wav,phew,
synthetic_bisaya_audio\synthetic_226.wav,nuh uh!,
synthetic_bisaya_audio\synthetic_227.wav,yeah huh!,
synthetic_bisaya_audio\synthetic_228.wav,you shut up you dako babayeng asshole!,
synthetic_bisaya_audio\synthetic_229.wav,wala ko!,
synthetic_bisaya_audio\synthetic_230.wav,wala ka nabuhat?,
synthetic_bisaya_audio\synthetic_231.wav,unsa ang imo?,
synthetic_bisaya_audio\synthetic_232.wav,paghilom ka!,
synthetic_bisaya_audio\synthetic_233.wav,whoa whoa what-unsa impyerno impyerno?,
synthetic_bisaya_audio\synthetic_234.wav,wala ba kaninyoy kasigurohan sa bisan unsang butang karon lang?,
synthetic_bisaya_audio\synthetic_235.wav,oh man dili maayo ang akong,
synthetic_bisaya_audio\synthetic_236.wav,a-nagsulti ba ko karon?,
synthetic_bisaya_audio\synthetic_237.wav,unsay angay natong buhaton ben?,
synthetic_bisaya_audio\synthetic_238.wav,atong tan-awon kon nagkinahanglan ba siya og tabang,
synthetic_bisaya_audio\synthetic_239.wav,unsay buot nimong ipasabot nga tabangan,
synthetic_bisaya_audio\synthetic_240.wav,unsay nahitabo grampa?,
synthetic_bisaya_audio\synthetic_241.wav,shut up! oh crap gibiaybiay ba ko nimo? duha ka tuldok? dili kinahanglan nga labaw pa sa usa ka tuldok kamong duha naghimo kanamong walay kasigurohan!,
synthetic_bisaya_audio\synthetic_242.wav,unsay buot nimong ipasabot?,
synthetic_bisaya_audio\synthetic_243.wav,unsa? sa english?,
synthetic_bisaya_audio\synthetic_244.wav,unsa? english please?,
synthetic_bisaya_audio\synthetic_245.wav,ang atong panahon nabalikamong duha sa usa ka paagi nakamugna ug feedback loop sa kawalay kasiguruhan nga nagbahin sa atong realidad ngadto sa duha parehas nga posible nga mga imposible k-kita sama gyud sa usa ka lalaki nga makahimo sa pagpadayon sa usa ka platonic nga panaghigalaay sa usa ka madanihon nga babaye nga kauban sa trabaho kami hingpit nga hypothetical,
synthetic_bisaya_audio\synthetic_246.wav,apan ako naghunahuna nga adunay walay katapusan nga mga timeline,
synthetic_bisaya_audio\synthetic_247.wav,katong mga iring?,
synthetic_bisaya_audio\synthetic_248.wav,�mama ug papa?� kuhaa ang imong ulo gikan sa asno sa imong pamilya nangawala ming tulo sa walay kataposang kalimot ang imong mga ginikanan maglungtad tingali gikinabuhi nila kini sa usa ka wala�y hinungdan nga sukaranan nga istorya bahin sa ilang daotan nga kaminyoon,
synthetic_bisaya_audio\synthetic_249.wav,cold stone creamery ang labing kaayo unsay angay natong buhaton sa nahibilin natong baynte dolyares?,
synthetic_bisaya_audio\synthetic_250.wav,you realize nga mokanta sila bisag unsa pa ka tip,
synthetic_bisaya_audio\synthetic_251.wav,holy shit! unsay nahitabo?,
synthetic_bisaya_audio\synthetic_252.wav,naigo ko og usa! k-kinahanglan namong isulti ang mga polis nga imong gimaneho,
synthetic_bisaya_audio\synthetic_253.wav,a-unsa?,
synthetic_bisaya_audio\synthetic_254.wav,kini ang rum raisin!,
synthetic_bisaya_audio\synthetic_255.wav,buhi pa,
synthetic_bisaya_audio\synthetic_256.wav,so,
synthetic_bisaya_audio\synthetic_257.wav,oo beth,
synthetic_bisaya_audio\synthetic_258.wav,ug gibuhat nimo kini aron makalimpyo ka sa balay pagkahuman sa usa ka party?,
synthetic_bisaya_audio\synthetic_259.wav,or,
synthetic_bisaya_audio\synthetic_260.wav,1,
synthetic_bisaya_audio\synthetic_261.wav,nanginahanglan ug lebel lebel sa lebel aron mabuhig buhi?,
synthetic_bisaya_audio\synthetic_262.wav,o?,
synthetic_bisaya_audio\synthetic_263.wav,kami dili,
synthetic_bisaya_audio\synthetic_264.wav,oh shit,
synthetic_bisaya_audio\synthetic_265.wav,unsa may problema ninyong duha!? akoakoakoi mean kamong upat!?,
synthetic_bisaya_audio\synthetic_266.wav,gibiaybiay ko nimo kanunay ug karon gibuhat usab ni summer!,
synthetic_bisaya_audio\synthetic_267.wav,pirme ko nimo gisakyan ug karon naay mohalok sa imong asno!,
synthetic_bisaya_audio\synthetic_268.wav,ako? unsa man nimo? mas maghinam-hinam ka nga makakita nako nga mapakyas? gusto nimo si grampa sa imong kaugalingon!,
synthetic_bisaya_audio\synthetic_269.wav,geez,
synthetic_bisaya_audio\synthetic_270.wav,i mean gipusil na uban sa pusil,
synthetic_bisaya_audio\synthetic_271.wav,you mean hubog?,
synthetic_bisaya_audio\synthetic_272.wav,no,
synthetic_bisaya_audio\synthetic_273.wav,kanang anak sa usa ka bitch mopatay kanako!,
synthetic_bisaya_audio\synthetic_274.wav,ric unsay imong gibuhat?,
synthetic_bisaya_audio\synthetic_275.wav,pagluwas sa atong kinabuhi human niya ako pagawason siya moadto alang kanimo!,
synthetic_bisaya_audio\synthetic_276.wav,kinsa?,
synthetic_bisaya_audio\synthetic_277.wav,ako!,
synthetic_bisaya_audio\synthetic_278.wav,ahh!,
synthetic_bisaya_audio\synthetic_279.wav,whoa whoa!,
synthetic_bisaya_audio\synthetic_280.wav,kinsa ni karon?,
synthetic_bisaya_audio\synthetic_281.wav,kasagaran siya nagtrabaho sa mga kabayo,
synthetic_bisaya_audio\synthetic_282.wav,jesus,
synthetic_bisaya_audio\synthetic_283.wav,tama,
synthetic_bisaya_audio\synthetic_284.wav,sa akong hunahuna sigurado ako nga f'd kami sa a,
synthetic_bisaya_audio\synthetic_285.wav,gisulayan nimo ang pagpatay sa imong kaugalingon!,
synthetic_bisaya_audio\synthetic_286.wav,aw naa bay paagi nga mapamatud-an nimo nga dili na ka hulga sa imong kaugalingon ug sa uban?,
synthetic_bisaya_audio\synthetic_287.wav,a-unsay imong gibuhat?,
synthetic_bisaya_audio\synthetic_288.wav,fine ako ra mismo ang mobuhat,
synthetic_bisaya_audio\synthetic_289.wav,kung makalingkawas ka nianang tibuok panahon nganong wala man ka?,
synthetic_bisaya_audio\synthetic_290.wav,kini usa ka mangtas!,
synthetic_bisaya_audio\synthetic_291.wav,usa kini ka mangtas!,
synthetic_bisaya_audio\synthetic_292.wav,ey,
synthetic_bisaya_audio\synthetic_293.wav,giunsa kini nahitabo?,
synthetic_bisaya_audio\synthetic_294.wav,unsa kadugay nga kinahanglan natong isul-ob kining mga butanga? makauulaw gyud sila,
synthetic_bisaya_audio\synthetic_295.wav,bueno,
synthetic_bisaya_audio\synthetic_296.wav,panahon nga bilanggoan?,
synthetic_bisaya_audio\synthetic_297.wav,gikawat nimo ang usa ka oras nga nagyelo nga kristal gikan sa mga testicle nga monster?,
synthetic_bisaya_audio\synthetic_298.wav,ututututut! mas maayo nga magbalik ka! tawo,
synthetic_bisaya_audio\synthetic_299.wav,hmm,
synthetic_bisaya_audio\synthetic_300.wav,wala bay kuting sa dapit nga nanginahanglan ug manicure?,
synthetic_bisaya_audio\synthetic_301.wav,sa akong hunahuna kana ang katapusan niana,
synthetic_bisaya_audio\synthetic_302.wav,among gibuhat,
synthetic_bisaya_audio\synthetic_303.wav,nganong gibuhat nimo ni?,
synthetic_bisaya_audio\synthetic_304.wav,sa imong hunahuna gusto ko nga mahimong usa ka omniscient imortal nga molapas sa oras ug luna sa tibuok nakong kinabuhi? naa koy mga ambisyon nga lalaki,
synthetic_bisaya_audio\synthetic_305.wav,unsa kaha kon sultihan ko ikaw nga adunay usa ka dako nga tiket sa imong luyo?,
synthetic_bisaya_audio\synthetic_306.wav,nagtuo ka nga ingon ana ko ka tanga?,
synthetic_bisaya_audio\synthetic_307.wav,dili ko makiglalis niana,
synthetic_bisaya_audio\synthetic_308.wav,chris!,
synthetic_bisaya_audio\synthetic_309.wav,gipatay nimo akong pusil!,
synthetic_bisaya_audio\synthetic_310.wav,unsa? unsa man ang imong gibuhat?,
synthetic_bisaya_audio\synthetic_311.wav,maayong pangutana nagtuo ko nga ang tubag mao ang,
synthetic_bisaya_audio\synthetic_312.wav,bisan unsa unsa ka gamay ang kinahanglan nako nga dili kaayo magtagad sa kinabuhi sa usa ka hayop kaysa sa akong kaugalingon nga kaakuhan?,
synthetic_bisaya_audio\synthetic_313.wav,hmm gamay ra kaayo ka pero ikaw gihapon ang babaye nga akong gipakaslan,
synthetic_bisaya_audio\synthetic_314.wav,asa ta paingon?,
synthetic_bisaya_audio\synthetic_315.wav,usa ka katapusan nga paghunong,
synthetic_bisaya_audio\synthetic_316.wav,asa ang helicopter?,
synthetic_bisaya_audio\synthetic_317.wav,walay helicopter ug walay cervine institute,
synthetic_bisaya_audio\synthetic_318.wav,apan ang pinakataas nga surgeon sa usa,
synthetic_bisaya_audio\synthetic_319.wav,gitan-aw nako siya salamat sa pag fd nako nga ingon ana,
synthetic_bisaya_audio\synthetic_320.wav,kinahanglan ko ug lima ka minuto,
synthetic_bisaya_audio\synthetic_321.wav,salamat sa cold stone creamery,
